Fecha;Estacion;Valor_t2m
17-05-2024;Eulogio Sanchez, Tobalaba Ad.;7.7
18-05-2024;Santo Domingo, Ad.;7.5
18-05-2024;Rodelillo, Ad.;9.7
18-05-2024;Pudahuel Santiago;7.5
18-05-2024;Eulogio Sanchez, Tobalaba Ad.;7.5
19-05-2024;Santo Domingo, Ad.;8
19-05-2024;Rodelillo, Ad.;11.4
19-05-2024;Pudahuel Santiago;7.7
19-05-2024;Eulogio Sanchez, Tobalaba Ad.;8.7
20-05-2024;Santo Domingo, Ad.;9.7
20-05-2024;Rodelillo, Ad.;11.6
20-05-2024;Pudahuel Santiago;9.7
20-05-2024;Eulogio Sanchez, Tobalaba Ad.;10.5
21-05-2024;Santo Domingo, Ad.;10.9
21-05-2024;Rodelillo, Ad.;11
21-05-2024;Pudahuel Santiago;10.2
21-05-2024;Eulogio Sanchez, Tobalaba Ad.;9.8
22-05-2024;Santo Domingo, Ad.;9.9
22-05-2024;Rodelillo, Ad.;10.3
22-05-2024;Pudahuel Santiago;9.4
22-05-2024;Eulogio Sanchez, Tobalaba Ad.;9.4
23-05-2024;Santo Domingo, Ad.;10.4
23-05-2024;Rodelillo, Ad.;9.6
23-05-2024;Pudahuel Santiago;8
23-05-2024;Eulogio Sanchez, Tobalaba Ad.;6.9
24-05-2024;Santo Domingo, Ad.;9.9
24-05-2024;Rodelillo, Ad.;11.5
24-05-2024;Pudahuel Santiago;7.4
24-05-2024;Eulogio Sanchez, Tobalaba Ad.;7.9
25-05-2024;Santo Domingo, Ad.;11.1
25-05-2024;Rodelillo, Ad.;10.3
25-05-2024;Pudahuel Santiago;10.3
25-05-2024;Eulogio Sanchez, Tobalaba Ad.;12.1
26-05-2024;Santo Domingo, Ad.;12.5
26-05-2024;Rodelillo, Ad.;11.4
26-05-2024;Pudahuel Santiago;10
26-05-2024;Eulogio Sanchez, Tobalaba Ad.;10.2
27-05-2024;Santo Domingo, Ad.;10.3
27-05-2024;Rodelillo, Ad.;12.3
27-05-2024;Pudahuel Santiago;8.3
27-05-2024;Eulogio Sanchez, Tobalaba Ad.;9
28-05-2024;Santo Domingo, Ad.;8.7
28-05-2024;Rodelillo, Ad.;12.4
28-05-2024;Pudahuel Santiago;10.2
28-05-2024;Eulogio Sanchez, Tobalaba Ad.;11.8
29-05-2024;Santo Domingo, Ad.;10.8
29-05-2024;Rodelillo, Ad.;12.7
29-05-2024;Pudahuel Santiago;11.5
29-05-2024;Eulogio Sanchez, Tobalaba Ad.;12.2
30-05-2024;Santo Domingo, Ad.;11
30-05-2024;Rodelillo, Ad.;16.7
30-05-2024;Pudahuel Santiago;12.6
30-05-2024;Eulogio Sanchez, Tobalaba Ad.;13.5
31-05-2024;Santo Domingo, Ad.;9.1
31-05-2024;Rodelillo, Ad.;12.2
31-05-2024;Pudahuel Santiago;10.6
31-05-2024;Eulogio Sanchez, Tobalaba Ad.;12.1
01-06-2024;Santo Domingo, Ad.;10.8
01-06-2024;Rodelillo, Ad.;14.1
01-06-2024;Pudahuel Santiago;10.2
01-06-2024;Eulogio Sanchez, Tobalaba Ad.;11.1
02-06-2024;Santo Domingo, Ad.;11.6
02-06-2024;Rodelillo, Ad.;14.4
02-06-2024;Pudahuel Santiago;12.6
02-06-2024;Eulogio Sanchez, Tobalaba Ad.;11.5
03-06-2024;Santo Domingo, Ad.;10.9
03-06-2024;Rodelillo, Ad.;11.8
03-06-2024;Pudahuel Santiago;12.5
03-06-2024;Eulogio Sanchez, Tobalaba Ad.;16.1
04-06-2024;Santo Domingo, Ad.;10.3
04-06-2024;Rodelillo, Ad.;10.8
04-06-2024;Pudahuel Santiago;11.4
04-06-2024;Eulogio Sanchez, Tobalaba Ad.;12.9
05-06-2024;Santo Domingo, Ad.;11
05-06-2024;Rodelillo, Ad.;11.3
05-06-2024;Pudahuel Santiago;11.7
05-06-2024;Eulogio Sanchez, Tobalaba Ad.;13.5
06-06-2024;Santo Domingo, Ad.;13
06-06-2024;Rodelillo, Ad.;13.3
06-06-2024;Pudahuel Santiago;11.3
06-06-2024;Eulogio Sanchez, Tobalaba Ad.;12.9
07-06-2024;Santo Domingo, Ad.;13
07-06-2024;Rodelillo, Ad.;16
07-06-2024;Pudahuel Santiago;12.2
07-06-2024;Eulogio Sanchez, Tobalaba Ad.;14.5
08-06-2024;Santo Domingo, Ad.;12.9
08-06-2024;Rodelillo, Ad.;12.2
08-06-2024;Pudahuel Santiago;12
08-06-2024;Eulogio Sanchez, Tobalaba Ad.;13.2
09-06-2024;Santo Domingo, Ad.;12.6
09-06-2024;Rodelillo, Ad.;11.3
09-06-2024;Pudahuel Santiago;9.9
09-06-2024;Eulogio Sanchez, Tobalaba Ad.;9.6
10-06-2024;Santo Domingo, Ad.;12.9
10-06-2024;Rodelillo, Ad.;12
10-06-2024;Pudahuel Santiago;10
10-06-2024;Eulogio Sanchez, Tobalaba Ad.;10.6
11-06-2024;Santo Domingo, Ad.;13.1
11-06-2024;Rodelillo, Ad.;12.5
11-06-2024;Pudahuel Santiago;10.7
11-06-2024;Eulogio Sanchez, Tobalaba Ad.;11.4
12-06-2024;Santo Domingo, Ad.;13
12-06-2024;Rodelillo, Ad.;11.8
12-06-2024;Pudahuel Santiago;10.1
12-06-2024;Eulogio Sanchez, Tobalaba Ad.;10.3
13-06-2024;Santo Domingo, Ad.;13.7
13-06-2024;Rodelillo, Ad.;12.1
13-06-2024;Pudahuel Santiago;10.4
13-06-2024;Eulogio Sanchez, Tobalaba Ad.;10.4
14-06-2024;Santo Domingo, Ad.;13.9
14-06-2024;Rodelillo, Ad.;12.5
14-06-2024;Pudahuel Santiago;10.2
14-06-2024;Eulogio Sanchez, Tobalaba Ad.;9.5
15-06-2024;Santo Domingo, Ad.;10.5
15-06-2024;Rodelillo, Ad.;11.7
15-06-2024;Pudahuel Santiago;8.8
15-06-2024;Eulogio Sanchez, Tobalaba Ad.;8.8
16-06-2024;Santo Domingo, Ad.;9.6
16-06-2024;Rodelillo, Ad.;10.3
16-06-2024;Pudahuel Santiago;8.3
16-06-2024;Eulogio Sanchez, Tobalaba Ad.;8.9
17-06-2024;Santo Domingo, Ad.;10.5
17-06-2024;Rodelillo, Ad.;9.3
17-06-2024;Pudahuel Santiago;7.7
17-06-2024;Eulogio Sanchez, Tobalaba Ad.;8
18-06-2024;Santo Domingo, Ad.;12.7
18-06-2024;Rodelillo, Ad.;11
18-06-2024;Pudahuel Santiago;10.2
18-06-2024;Eulogio Sanchez, Tobalaba Ad.;9.5
19-06-2024;Santo Domingo, Ad.;12.5
19-06-2024;Rodelillo, Ad.;11.8
19-06-2024;Pudahuel Santiago;10.8
19-06-2024;Eulogio Sanchez, Tobalaba Ad.;10.7
20-06-2024;Santo Domingo, Ad.;12.7
20-06-2024;Rodelillo, Ad.;10.8
20-06-2024;Pudahuel Santiago;9.1
20-06-2024;Eulogio Sanchez, Tobalaba Ad.;9.6
21-06-2024;Santo Domingo, Ad.;11
21-06-2024;Rodelillo, Ad.;10.7
21-06-2024;Pudahuel Santiago;8.1
21-06-2024;Eulogio Sanchez, Tobalaba Ad.;7.5
22-06-2024;Santo Domingo, Ad.;11
22-06-2024;Rodelillo, Ad.;9.7
22-06-2024;Pudahuel Santiago;7.8
22-06-2024;Eulogio Sanchez, Tobalaba Ad.;7.4
23-06-2024;Santo Domingo, Ad.;8.8
23-06-2024;Rodelillo, Ad.;8.2
23-06-2024;Pudahuel Santiago;7.2
23-06-2024;Eulogio Sanchez, Tobalaba Ad.;6.5
24-06-2024;Santo Domingo, Ad.;7.7
24-06-2024;Rodelillo, Ad.;8.2
24-06-2024;Pudahuel Santiago;7.8
24-06-2024;Eulogio Sanchez, Tobalaba Ad.;7.3
25-06-2024;Santo Domingo, Ad.;6.2
25-06-2024;Rodelillo, Ad.;7.3
25-06-2024;Pudahuel Santiago;7.3
25-06-2024;Eulogio Sanchez, Tobalaba Ad.;7.1
26-06-2024;Santo Domingo, Ad.;7.6
26-06-2024;Rodelillo, Ad.;11.1
26-06-2024;Pudahuel Santiago;6.2
26-06-2024;Eulogio Sanchez, Tobalaba Ad.;6.6
27-06-2024;Santo Domingo, Ad.;9.1
27-06-2024;Rodelillo, Ad.;14.6
27-06-2024;Pudahuel Santiago;8.6
27-06-2024;Eulogio Sanchez, Tobalaba Ad.;10
28-06-2024;Santo Domingo, Ad.;10.6
28-06-2024;Rodelillo, Ad.;11.4
28-06-2024;Pudahuel Santiago;9.1
28-06-2024;Eulogio Sanchez, Tobalaba Ad.;9.2
29-06-2024;Santo Domingo, Ad.;9.8
29-06-2024;Rodelillo, Ad.;12.1
29-06-2024;Pudahuel Santiago;8
29-06-2024;Eulogio Sanchez, Tobalaba Ad.;9.7
30-06-2024;Santo Domingo, Ad.;9.1
30-06-2024;Rodelillo, Ad.;14.6
30-06-2024;Pudahuel Santiago;9.6
30-06-2024;Eulogio Sanchez, Tobalaba Ad.;11.9
01-07-2024;Santo Domingo, Ad.;8.7
01-07-2024;Rodelillo, Ad.;15.8
01-07-2024;Pudahuel Santiago;10.9
01-07-2024;Eulogio Sanchez, Tobalaba Ad.;12.1
02-07-2024;Santo Domingo, Ad.;9.5
02-07-2024;Rodelillo, Ad.;15.4
02-07-2024;Pudahuel Santiago;10.4
02-07-2024;Eulogio Sanchez, Tobalaba Ad.;11.8
03-07-2024;Santo Domingo, Ad.;10.6
03-07-2024;Rodelillo, Ad.;15.1
03-07-2024;Pudahuel Santiago;10.8
03-07-2024;Eulogio Sanchez, Tobalaba Ad.;11.5
04-07-2024;Santo Domingo, Ad.;8.8
04-07-2024;Rodelillo, Ad.;10.6
04-07-2024;Pudahuel Santiago;8.2
04-07-2024;Eulogio Sanchez, Tobalaba Ad.;8.3
05-07-2024;Santo Domingo, Ad.;6.7
05-07-2024;Rodelillo, Ad.;9.1
05-07-2024;Pudahuel Santiago;6.3
05-07-2024;Eulogio Sanchez, Tobalaba Ad.;7.7
06-07-2024;Santo Domingo, Ad.;5.1
06-07-2024;Rodelillo, Ad.;7.9
06-07-2024;Pudahuel Santiago;6.6
06-07-2024;Eulogio Sanchez, Tobalaba Ad.;7.8
07-07-2024;Santo Domingo, Ad.;6.5
07-07-2024;Rodelillo, Ad.;8.8
07-07-2024;Pudahuel Santiago;5.8
07-07-2024;Eulogio Sanchez, Tobalaba Ad.;6.8
08-07-2024;Santo Domingo, Ad.;4.7
08-07-2024;Rodelillo, Ad.;8.2
08-07-2024;Pudahuel Santiago;6.4
08-07-2024;Eulogio Sanchez, Tobalaba Ad.;7.4
09-07-2024;Santo Domingo, Ad.;3.4
09-07-2024;Rodelillo, Ad.;6.5
09-07-2024;Pudahuel Santiago;5.3
09-07-2024;Eulogio Sanchez, Tobalaba Ad.;6.7
10-07-2024;Santo Domingo, Ad.;8
10-07-2024;Rodelillo, Ad.;8
10-07-2024;Pudahuel Santiago;5.4
10-07-2024;Eulogio Sanchez, Tobalaba Ad.;5.4
11-07-2024;Santo Domingo, Ad.;4.6
11-07-2024;Rodelillo, Ad.;6.9
11-07-2024;Pudahuel Santiago;4.8
11-07-2024;Eulogio Sanchez, Tobalaba Ad.;5.5
12-07-2024;Santo Domingo, Ad.;6.2
12-07-2024;Rodelillo, Ad.;7.2
12-07-2024;Pudahuel Santiago;6.4
12-07-2024;Eulogio Sanchez, Tobalaba Ad.;7.6
13-07-2024;Santo Domingo, Ad.;6.9
13-07-2024;Rodelillo, Ad.;8.6
13-07-2024;Pudahuel Santiago;6.2
13-07-2024;Eulogio Sanchez, Tobalaba Ad.;3.8
14-07-2024;Santo Domingo, Ad.;6.7
14-07-2024;Rodelillo, Ad.;6.9
14-07-2024;Pudahuel Santiago;6.3
14-07-2024;Eulogio Sanchez, Tobalaba Ad.;11
15-07-2024;Santo Domingo, Ad.;5.5
15-07-2024;Rodelillo, Ad.;5.7
15-07-2024;Pudahuel Santiago;7
15-07-2024;Eulogio Sanchez, Tobalaba Ad.;9.7
16-07-2024;Santo Domingo, Ad.;7.3
16-07-2024;Rodelillo, Ad.;11.7
16-07-2024;Pudahuel Santiago;9.6
16-07-2024;Eulogio Sanchez, Tobalaba Ad.;11.8
17-07-2024;Santo Domingo, Ad.;7.3
17-07-2024;Rodelillo, Ad.;12.7
17-07-2024;Pudahuel Santiago;9.9
17-07-2024;Eulogio Sanchez, Tobalaba Ad.;12.5
18-07-2024;Santo Domingo, Ad.;9.3
18-07-2024;Rodelillo, Ad.;11.2
18-07-2024;Pudahuel Santiago;10.7
18-07-2024;Eulogio Sanchez, Tobalaba Ad.;11.5
19-07-2024;Santo Domingo, Ad.;9.5
19-07-2024;Rodelillo, Ad.;9.4
19-07-2024;Pudahuel Santiago;9.9
19-07-2024;Eulogio Sanchez, Tobalaba Ad.;10.4
20-07-2024;Santo Domingo, Ad.;6
20-07-2024;Rodelillo, Ad.;7.7
20-07-2024;Pudahuel Santiago;7.3
20-07-2024;Eulogio Sanchez, Tobalaba Ad.;9
21-07-2024;Santo Domingo, Ad.;10.6
21-07-2024;Rodelillo, Ad.;10.9
21-07-2024;Pudahuel Santiago;10.1
21-07-2024;Eulogio Sanchez, Tobalaba Ad.;9.7
22-07-2024;Santo Domingo, Ad.;9.4
22-07-2024;Rodelillo, Ad.;12.1
22-07-2024;Pudahuel Santiago;9.1
22-07-2024;Eulogio Sanchez, Tobalaba Ad.;10.3
23-07-2024;Santo Domingo, Ad.;11.9
23-07-2024;Rodelillo, Ad.;10.6
23-07-2024;Pudahuel Santiago;8.2
23-07-2024;Eulogio Sanchez, Tobalaba Ad.;7.7
24-07-2024;Santo Domingo, Ad.;9.7
24-07-2024;Rodelillo, Ad.;12.1
24-07-2024;Pudahuel Santiago;8.4
24-07-2024;Eulogio Sanchez, Tobalaba Ad.;9.4
25-07-2024;Santo Domingo, Ad.;8.3
25-07-2024;Rodelillo, Ad.;13.6
25-07-2024;Pudahuel Santiago;9.3
25-07-2024;Eulogio Sanchez, Tobalaba Ad.;11.3
26-07-2024;Santo Domingo, Ad.;7.9
26-07-2024;Rodelillo, Ad.;10.2
26-07-2024;Pudahuel Santiago;8
26-07-2024;Eulogio Sanchez, Tobalaba Ad.;9
27-07-2024;Santo Domingo, Ad.;9.4
27-07-2024;Rodelillo, Ad.;11.1
27-07-2024;Pudahuel Santiago;7.8
27-07-2024;Eulogio Sanchez, Tobalaba Ad.;9.2
28-07-2024;Santo Domingo, Ad.;7.2
28-07-2024;Rodelillo, Ad.;9.8
28-07-2024;Pudahuel Santiago;7.8
28-07-2024;Eulogio Sanchez, Tobalaba Ad.;9
29-07-2024;Santo Domingo, Ad.;7.6
29-07-2024;Rodelillo, Ad.;13.1
29-07-2024;Pudahuel Santiago;10
29-07-2024;Eulogio Sanchez, Tobalaba Ad.;12.8
30-07-2024;Santo Domingo, Ad.;9.6
30-07-2024;Rodelillo, Ad.;9.9
30-07-2024;Pudahuel Santiago;11.8
30-07-2024;Eulogio Sanchez, Tobalaba Ad.;13.4
31-07-2024;Santo Domingo, Ad.;11.6
31-07-2024;Rodelillo, Ad.;9.9
31-07-2024;Pudahuel Santiago;10.4
31-07-2024;Eulogio Sanchez, Tobalaba Ad.;11.3
01-08-2024;Santo Domingo, Ad.;12.9
01-08-2024;Rodelillo, Ad.;10.4
01-08-2024;Pudahuel Santiago;9.4
01-08-2024;Eulogio Sanchez, Tobalaba Ad.;9.4
02-08-2024;Santo Domingo, Ad.;12.1
02-08-2024;Rodelillo, Ad.;10
02-08-2024;Pudahuel Santiago;9
02-08-2024;Eulogio Sanchez, Tobalaba Ad.;10
03-08-2024;Santo Domingo, Ad.;9.2
03-08-2024;Rodelillo, Ad.;10.7
03-08-2024;Pudahuel Santiago;8.6
03-08-2024;Eulogio Sanchez, Tobalaba Ad.;8.7
04-08-2024;Santo Domingo, Ad.;NA
04-08-2024;Rodelillo, Ad.;10.2
04-08-2024;Pudahuel Santiago;10.1
04-08-2024;Eulogio Sanchez, Tobalaba Ad.;9.8
05-08-2024;Santo Domingo, Ad.;NA
05-08-2024;Rodelillo, Ad.;8.8
05-08-2024;Pudahuel Santiago;8.9
05-08-2024;Eulogio Sanchez, Tobalaba Ad.;9
06-08-2024;Santo Domingo, Ad.;7.8
06-08-2024;Rodelillo, Ad.;8.2
06-08-2024;Pudahuel Santiago;7.8
06-08-2024;Eulogio Sanchez, Tobalaba Ad.;6.7
07-08-2024;Santo Domingo, Ad.;6
07-08-2024;Rodelillo, Ad.;7.3
07-08-2024;Pudahuel Santiago;7
07-08-2024;Eulogio Sanchez, Tobalaba Ad.;6.1
08-08-2024;Santo Domingo, Ad.;8.7
08-08-2024;Rodelillo, Ad.;9.1
08-08-2024;Pudahuel Santiago;7.3
08-08-2024;Eulogio Sanchez, Tobalaba Ad.;6.3
09-08-2024;Santo Domingo, Ad.;10.1
09-08-2024;Rodelillo, Ad.;11.9
09-08-2024;Pudahuel Santiago;8.7
09-08-2024;Eulogio Sanchez, Tobalaba Ad.;9.3
10-08-2024;Santo Domingo, Ad.;10.7
10-08-2024;Rodelillo, Ad.;13.8
10-08-2024;Pudahuel Santiago;11
10-08-2024;Eulogio Sanchez, Tobalaba Ad.;12
11-08-2024;Santo Domingo, Ad.;13.7
11-08-2024;Rodelillo, Ad.;15.1
11-08-2024;Pudahuel Santiago;11
11-08-2024;Eulogio Sanchez, Tobalaba Ad.;12.2
12-08-2024;Santo Domingo, Ad.;10.5
12-08-2024;Rodelillo, Ad.;15.1
12-08-2024;Pudahuel Santiago;13.1
12-08-2024;Eulogio Sanchez, Tobalaba Ad.;16.8
13-08-2024;Santo Domingo, Ad.;9.2
13-08-2024;Rodelillo, Ad.;10.4
13-08-2024;Pudahuel Santiago;13.5
13-08-2024;Eulogio Sanchez, Tobalaba Ad.;15
14-08-2024;Santo Domingo, Ad.;11
14-08-2024;Rodelillo, Ad.;11.1
14-08-2024;Pudahuel Santiago;10.8
14-08-2024;Eulogio Sanchez, Tobalaba Ad.;11.3
15-08-2024;Santo Domingo, Ad.;9.7
15-08-2024;Rodelillo, Ad.;10.6
15-08-2024;Pudahuel Santiago;9.9
15-08-2024;Eulogio Sanchez, Tobalaba Ad.;10.8
16-08-2024;Santo Domingo, Ad.;8
16-08-2024;Rodelillo, Ad.;9.8
16-08-2024;Pudahuel Santiago;10
16-08-2024;Eulogio Sanchez, Tobalaba Ad.;10.1
17-08-2024;Santo Domingo, Ad.;9.6
17-08-2024;Rodelillo, Ad.;10.3
17-08-2024;Pudahuel Santiago;10.1
17-08-2024;Eulogio Sanchez, Tobalaba Ad.;10.1
18-08-2024;Santo Domingo, Ad.;8.7
18-08-2024;Rodelillo, Ad.;8.4
18-08-2024;Pudahuel Santiago;9
18-08-2024;Eulogio Sanchez, Tobalaba Ad.;9
19-08-2024;Santo Domingo, Ad.;7.9
19-08-2024;Rodelillo, Ad.;8.1
19-08-2024;Pudahuel Santiago;8.3
19-08-2024;Eulogio Sanchez, Tobalaba Ad.;7.8
20-08-2024;Santo Domingo, Ad.;6.4
20-08-2024;Rodelillo, Ad.;7.7
20-08-2024;Pudahuel Santiago;7.7
20-08-2024;Eulogio Sanchez, Tobalaba Ad.;8.3
21-08-2024;Santo Domingo, Ad.;6.1
21-08-2024;Rodelillo, Ad.;6.6
21-08-2024;Pudahuel Santiago;7.1
21-08-2024;Eulogio Sanchez, Tobalaba Ad.;6.4
22-08-2024;Santo Domingo, Ad.;9
22-08-2024;Rodelillo, Ad.;8.5
22-08-2024;Pudahuel Santiago;7.5
22-08-2024;Eulogio Sanchez, Tobalaba Ad.;7.4
23-08-2024;Santo Domingo, Ad.;8.6
23-08-2024;Rodelillo, Ad.;7.9
23-08-2024;Pudahuel Santiago;7.6
23-08-2024;Eulogio Sanchez, Tobalaba Ad.;7.6
24-08-2024;Santo Domingo, Ad.;9.8
24-08-2024;Rodelillo, Ad.;11
24-08-2024;Pudahuel Santiago;8.1
24-08-2024;Eulogio Sanchez, Tobalaba Ad.;8.5
25-08-2024;Santo Domingo, Ad.;8.6
25-08-2024;Rodelillo, Ad.;12.9
25-08-2024;Pudahuel Santiago;11.2
25-08-2024;Eulogio Sanchez, Tobalaba Ad.;13.2
26-08-2024;Santo Domingo, Ad.;9.1
26-08-2024;Rodelillo, Ad.;10.4
26-08-2024;Pudahuel Santiago;10.7
26-08-2024;Eulogio Sanchez, Tobalaba Ad.;11.2
27-08-2024;Santo Domingo, Ad.;8.7
27-08-2024;Rodelillo, Ad.;11.7
27-08-2024;Pudahuel Santiago;10.6
27-08-2024;Eulogio Sanchez, Tobalaba Ad.;11.5
28-08-2024;Santo Domingo, Ad.;10.2
28-08-2024;Rodelillo, Ad.;8.8
28-08-2024;Pudahuel Santiago;10.3
28-08-2024;Eulogio Sanchez, Tobalaba Ad.;11.3
29-08-2024;Santo Domingo, Ad.;10.5
29-08-2024;Rodelillo, Ad.;9.1
29-08-2024;Pudahuel Santiago;8.6
29-08-2024;Eulogio Sanchez, Tobalaba Ad.;7.8
30-08-2024;Santo Domingo, Ad.;11.5
30-08-2024;Rodelillo, Ad.;10.7
30-08-2024;Pudahuel Santiago;10.1
30-08-2024;Eulogio Sanchez, Tobalaba Ad.;9.5
31-08-2024;Santo Domingo, Ad.;9.1
31-08-2024;Rodelillo, Ad.;12.5
31-08-2024;Pudahuel Santiago;10.7
31-08-2024;Eulogio Sanchez, Tobalaba Ad.;11.3
01-09-2024;Santo Domingo, Ad.;9.4
01-09-2024;Rodelillo, Ad.;14.5
01-09-2024;Pudahuel Santiago;13.9
01-09-2024;Eulogio Sanchez, Tobalaba Ad.;15.1
02-09-2024;Santo Domingo, Ad.;10
02-09-2024;Rodelillo, Ad.;10.4
02-09-2024;Pudahuel Santiago;12.4
02-09-2024;Eulogio Sanchez, Tobalaba Ad.;13.5
03-09-2024;Santo Domingo, Ad.;9.6
03-09-2024;Rodelillo, Ad.;11.2
03-09-2024;Pudahuel Santiago;11.8
03-09-2024;Eulogio Sanchez, Tobalaba Ad.;11.4
04-09-2024;Santo Domingo, Ad.;10.2
04-09-2024;Rodelillo, Ad.;12.2
04-09-2024;Pudahuel Santiago;10.7
04-09-2024;Eulogio Sanchez, Tobalaba Ad.;11.1
05-09-2024;Santo Domingo, Ad.;9
05-09-2024;Rodelillo, Ad.;15
05-09-2024;Pudahuel Santiago;12.8
05-09-2024;Eulogio Sanchez, Tobalaba Ad.;14.4
06-09-2024;Santo Domingo, Ad.;8.6
06-09-2024;Rodelillo, Ad.;11.6
06-09-2024;Pudahuel Santiago;13
06-09-2024;Eulogio Sanchez, Tobalaba Ad.;14.1
07-09-2024;Santo Domingo, Ad.;9.2
07-09-2024;Rodelillo, Ad.;10.9
07-09-2024;Pudahuel Santiago;11.2
07-09-2024;Eulogio Sanchez, Tobalaba Ad.;11.9
08-09-2024;Santo Domingo, Ad.;8.9
08-09-2024;Rodelillo, Ad.;12.5
08-09-2024;Pudahuel Santiago;11.6
08-09-2024;Eulogio Sanchez, Tobalaba Ad.;12.8
09-09-2024;Santo Domingo, Ad.;10.1
09-09-2024;Rodelillo, Ad.;14
09-09-2024;Pudahuel Santiago;14.8
09-09-2024;Eulogio Sanchez, Tobalaba Ad.;12.1
10-09-2024;Santo Domingo, Ad.;9.8
10-09-2024;Rodelillo, Ad.;13.4
10-09-2024;Pudahuel Santiago;13.6
10-09-2024;Eulogio Sanchez, Tobalaba Ad.;NA
11-09-2024;Santo Domingo, Ad.;9.7
11-09-2024;Rodelillo, Ad.;12.5
11-09-2024;Pudahuel Santiago;13.6
11-09-2024;Eulogio Sanchez, Tobalaba Ad.;NA
12-09-2024;Santo Domingo, Ad.;8.5
12-09-2024;Rodelillo, Ad.;9.3
12-09-2024;Pudahuel Santiago;12.3
12-09-2024;Eulogio Sanchez, Tobalaba Ad.;NA
13-09-2024;Santo Domingo, Ad.;9.9
13-09-2024;Rodelillo, Ad.;10.9
13-09-2024;Pudahuel Santiago;11.8
13-09-2024;Eulogio Sanchez, Tobalaba Ad.;16.7
14-09-2024;Santo Domingo, Ad.;10.9
14-09-2024;Rodelillo, Ad.;14.1
14-09-2024;Pudahuel Santiago;13.8
14-09-2024;Eulogio Sanchez, Tobalaba Ad.;14.1
15-09-2024;Santo Domingo, Ad.;10.3
15-09-2024;Rodelillo, Ad.;15.6
15-09-2024;Pudahuel Santiago;14.6
15-09-2024;Eulogio Sanchez, Tobalaba Ad.;15.2
16-09-2024;Santo Domingo, Ad.;11.7
16-09-2024;Rodelillo, Ad.;16.6
16-09-2024;Pudahuel Santiago;15.1
16-09-2024;Eulogio Sanchez, Tobalaba Ad.;12
17-09-2024;Santo Domingo, Ad.;11.6
17-09-2024;Rodelillo, Ad.;11.1
17-09-2024;Pudahuel Santiago;14.7
17-09-2024;Eulogio Sanchez, Tobalaba Ad.;NA
18-09-2024;Santo Domingo, Ad.;8.5
18-09-2024;Rodelillo, Ad.;9.3
18-09-2024;Pudahuel Santiago;13.2
18-09-2024;Eulogio Sanchez, Tobalaba Ad.;NA
19-09-2024;Santo Domingo, Ad.;12.7
19-09-2024;Rodelillo, Ad.;10.7
19-09-2024;Pudahuel Santiago;12.1
19-09-2024;Eulogio Sanchez, Tobalaba Ad.;NA
20-09-2024;Santo Domingo, Ad.;9.7
20-09-2024;Rodelillo, Ad.;11.4
20-09-2024;Pudahuel Santiago;10.5
20-09-2024;Eulogio Sanchez, Tobalaba Ad.;NA
21-09-2024;Santo Domingo, Ad.;10.2
21-09-2024;Rodelillo, Ad.;10.8
21-09-2024;Pudahuel Santiago;12.1
21-09-2024;Eulogio Sanchez, Tobalaba Ad.;NA
22-09-2024;Santo Domingo, Ad.;11.3
22-09-2024;Rodelillo, Ad.;10.8
22-09-2024;Pudahuel Santiago;9.9
22-09-2024;Eulogio Sanchez, Tobalaba Ad.;NA
23-09-2024;Santo Domingo, Ad.;11.7
23-09-2024;Rodelillo, Ad.;12.6
23-09-2024;Pudahuel Santiago;11.8
23-09-2024;Eulogio Sanchez, Tobalaba Ad.;NA
24-09-2024;Santo Domingo, Ad.;9
24-09-2024;Rodelillo, Ad.;11.5
24-09-2024;Pudahuel Santiago;11.4
24-09-2024;Eulogio Sanchez, Tobalaba Ad.;NA
25-09-2024;Santo Domingo, Ad.;10.3
25-09-2024;Rodelillo, Ad.;11.6
25-09-2024;Pudahuel Santiago;11.6
25-09-2024;Eulogio Sanchez, Tobalaba Ad.;NA
26-09-2024;Santo Domingo, Ad.;10.9
26-09-2024;Rodelillo, Ad.;14.8
26-09-2024;Pudahuel Santiago;14.4
26-09-2024;Eulogio Sanchez, Tobalaba Ad.;22.5
27-09-2024;Santo Domingo, Ad.;9.5
27-09-2024;Rodelillo, Ad.;13.8
27-09-2024;Pudahuel Santiago;15.4
27-09-2024;Eulogio Sanchez, Tobalaba Ad.;16
28-09-2024;Santo Domingo, Ad.;11.7
28-09-2024;Rodelillo, Ad.;15.3
28-09-2024;Pudahuel Santiago;17.5
28-09-2024;Eulogio Sanchez, Tobalaba Ad.;17.9
29-09-2024;Santo Domingo, Ad.;11.4
29-09-2024;Rodelillo, Ad.;10.5
29-09-2024;Pudahuel Santiago;14.7
29-09-2024;Eulogio Sanchez, Tobalaba Ad.;14.3
30-09-2024;Santo Domingo, Ad.;12.8
30-09-2024;Rodelillo, Ad.;11.1
30-09-2024;Pudahuel Santiago;12.6
30-09-2024;Eulogio Sanchez, Tobalaba Ad.;12.1
01-10-2024;Santo Domingo, Ad.;13.4
01-10-2024;Rodelillo, Ad.;13.2
01-10-2024;Pudahuel Santiago;12.2
01-10-2024;Eulogio Sanchez, Tobalaba Ad.;11.6
02-10-2024;Santo Domingo, Ad.;11.5
02-10-2024;Rodelillo, Ad.;13.6
02-10-2024;Pudahuel Santiago;13.5
